,AO,district,address,wave,marker-color,iconContent,longitude,latitude,description
80,САО,Западное Дегунино,"Москва, Базовская ул., д.24Б",1,#0ACF00,1,37.516745,55.880081,"Базовская ул., д.24Б"
81,САО,Западное Дегунино,"Москва, Базовская ул., д.26",1,#0ACF00,1,37.517123,55.881768,"Базовская ул., д.26"
82,САО,Западное Дегунино,"Москва, Коровинское шоссе, д.29",1,#0ACF00,1,37.521282,55.879404,"Коровинское шоссе, д.29"
83,САО,Западное Дегунино,"Москва, Коровинское шоссе, д.29А",1,#0ACF00,1,37.520411,55.879122,"Коровинское шоссе, д.29А"
84,САО,Западное Дегунино,"Москва, Талдомская ул., д.1",1,#0ACF00,1,37.513035,55.869748,"Талдомская ул., д.1"
85,САО,Коптево,"Москва, Михалковский 3-й пер., д.17",1,#0ACF00,1,37.525136,55.835675,"Михалковский 3-й пер., д.17"
86,САО,Коптево,"Москва, Михалковский 3-й пер., д.19",1,#0ACF00,1,37.524471,55.835801,"Михалковский 3-й пер., д.19"
87,САО,Коптево,"Москва, Новомихалковский 4-й пр., д.13",1,#0ACF00,1,37.542626,55.843469,"Новомихалковский 4-й пр., д.13"
88,САО,Коптево,"Москва, Новомихалковский 4-й пр., д.1А",1,#0ACF00,1,37.544018,55.840012,"Новомихалковский 4-й пр., д.1А"
89,САО,Коптево,"Москва, Рычагова Генерала ул., д.16",1,#0ACF00,1,37.537595,55.840841,"Рычагова Генерала ул., д.16"
90,САО,Коптево,"Москва, Рычагова Генерала ул., д.18",1,#0ACF00,1,37.538269,55.840983,"Рычагова Генерала ул., д.18"
91,САО,Коптево,"Москва, Рычагова Генерала ул., д.20",1,#0ACF00,1,37.538934,55.841129,"Рычагова Генерала ул., д.20"
92,САО,Коптево,"Москва, Рычагова Генерала ул., д.21",1,#0ACF00,1,37.541162,55.842413,"Рычагова Генерала ул., д.21"
93,САО,Коптево,"Москва, Рычагова Генерала ул., д.22",1,#0ACF00,1,37.539626,55.841276,"Рычагова Генерала ул., д.22"
94,САО,Коптево,"Москва, Рычагова Генерала ул., д.23/11",1,#0ACF00,1,37.542491,55.842721,"Рычагова Генерала ул., д.23/11"
95,САО,Коптево,"Москва, Рычагова Генерала ул., д.24",1,#0ACF00,1,37.540299,55.841422,"Рычагова Генерала ул., д.24"
96,САО,Коптево,"Москва, Рычагова Генерала ул., д.26",1,#0ACF00,1,37.540991,55.841544,"Рычагова Генерала ул., д.26"
97,САО,Коптево,"Москва, Черепановых пр., д.48",1,#0ACF00,1,37.535008,55.842767,"Черепановых пр., д.48"
98,САО,Молжаниновский,"Москва, Ленинградское шоссе,  д. 248",1,#0ACF00,1,37.374812,55.934195,"Ленинградское шоссе,  д. 248"
99,САО,Молжаниновский,"Москва, Ленинградское шоссе,  д.261 с.1",1,#0ACF00,1,37.357402,55.945221,"Ленинградское шоссе,  д.261 с.1"
100,САО,Тимирязевский,"Москва, Всеволода Вишневского ул., д.11",1,#0ACF00,1,37.569441,55.811321,"Всеволода Вишневского ул., д.11"
101,САО,Тимирязевский,"Москва, Всеволода Вишневского ул., д.9 к.2",1,#0ACF00,1,37.570366,55.811184,"Всеволода Вишневского ул., д.9 к.2"
102,САО,Тимирязевский,"Москва, Дмитровское шоссе, д.32 к.1",1,#0ACF00,1,37.573905,55.839037,"Дмитровское шоссе, д.32 к.1"
103,САО,Тимирязевский,"Москва, Дмитровское шоссе, д.36 к.2",1,#0ACF00,1,37.573366,55.84075,"Дмитровское шоссе, д.36 к.2"
104,САО,Тимирязевский,"Москва, Дмитровское шоссе, д.55 к.1",1,#0ACF00,1,37.568246,55.843626,"Дмитровское шоссе, д.55 к.1"
105,САО,Тимирязевский,"Москва, Дмитровское шоссе, д.55 к.2",1,#0ACF00,1,37.567536,55.843545,"Дмитровское шоссе, д.55 к.2"
106,САО,Тимирязевский,"Москва, Ивановская ул., д.14 к.1",1,#0ACF00,1,37.570025,55.818715,"Ивановская ул., д.14 к.1"
107,САО,Тимирязевский,"Москва, Ивановская ул., д.14 к.2",1,#0ACF00,1,37.570644,55.818913,"Ивановская ул., д.14 к.2"
108,САО,Тимирязевский,"Москва, Линейный пр., д.1",1,#0ACF00,1,37.567375,55.841564,"Линейный пр., д.1"
109,САО,Тимирязевский,"Москва, Линейный пр., д.3",1,#0ACF00,1,37.568102,55.84165,"Линейный пр., д.3"
110,САО,Тимирязевский,"Москва, Локомотивный пр., д.3",1,#0ACF00,1,37.57598,55.838647,"Локомотивный пр., д.3"
111,СВАО,Алексеевский,"Москва, Константинова ул., д.2",1,#0ACF00,1,37.65258,55.8134,"Константинова ул., д.2"
112,СВАО,Алексеевский,"Москва, Маломосковская ул. д.15А",1,#0ACF00,1,37.647648,55.813647,Маломосковская ул. д.15А
113,СВАО,Алексеевский,"Москва, Ярославская ул. д.2",1,#0ACF00,1,37.646777,55.813829,Ярославская ул. д.2
114,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.33 к.3",1,#0ACF00,1,37.673834,55.871981,"Бабушкина Летчика ул., д.33 к.3"
115,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.33 к.4",1,#0ACF00,1,37.672998,55.872102,"Бабушкина Летчика ул., д.33 к.4"
116,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.35 к.1",1,#0ACF00,1,37.675819,55.872233,"Бабушкина Летчика ул., д.35 к.1"
117,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.35 к.2",1,#0ACF00,1,37.675154,55.872556,"Бабушкина Летчика ул., д.35 к.2"
118,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.39 к.1",1,#0ACF00,1,37.677041,55.874794,"Бабушкина Летчика ул., д.39 к.1"
119,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.41 к.1",1,#0ACF00,1,37.678263,55.875339,"Бабушкина Летчика ул., д.41 к.1"
120,СВАО,Бабушкинский,"Москва, Бабушкина Летчика ул., д.43",1,#0ACF00,1,37.679367,55.87594,"Бабушкина Летчика ул., д.43"
121,СВАО,Бабушкинский,"Москва, Верхоянская ул., д. 12",1,#0ACF00,1,37.66565,55.857791,"Верхоянская ул., д. 12"
122,СВАО,Бабушкинский,"Москва, Верхоянская ул., д. 16",1,#0ACF00,1,37.664123,55.85767,"Верхоянская ул., д. 16"
123,СВАО,Бабушкинский,"Москва, Искры ул., д.13 к.2",1,#0ACF00,1,37.66397,55.861742,"Искры ул., д.13 к.2"
124,СВАО,Бабушкинский,"Москва, Искры ул., д.13 к.3",1,#0ACF00,1,37.663198,55.861838,"Искры ул., д.13 к.3"
125,СВАО,Бабушкинский,"Москва, Коминтерна ул., д.2 к.2",1,#0ACF00,1,37.67563,55.860403,"Коминтерна ул., д.2 к.2"
126,СВАО,Бабушкинский,"Москва, Ленская ул., д.12",1,#0ACF00,1,37.666171,55.867031,"Ленская ул., д.12"
127,СВАО,Бабушкинский,"Москва, Ленская ул., д.14",1,#0ACF00,1,37.665435,55.867147,"Ленская ул., д.14"
128,СВАО,Бабушкинский,"Москва, Радужная ул., д.17",1,#0ACF00,1,37.662551,55.85913,"Радужная ул., д.17"
129,СВАО,Бутырский,"Москва, Яблочкова ул., д.24 к.1",1,#0ACF00,1,37.580463,55.823075,"Яблочкова ул., д.24 к.1"
130,СВАО,Бутырский,"Москва, Яблочкова ул., д.26 к.1",1,#0ACF00,1,37.5804,55.823859,"Яблочкова ул., д.26 к.1"
131,СВАО,Бутырский,"Москва, Яблочкова ул., д.26 к.2",1,#0ACF00,1,37.581038,55.824015,"Яблочкова ул., д.26 к.2"
132,СВАО,Бутырский,"Москва, Яблочкова ул., д.28 к.1",1,#0ACF00,1,37.580193,55.824653,"Яблочкова ул., д.28 к.1"
133,СВАО,Бутырский,"Москва, Яблочкова ул., д.28 к.2",1,#0ACF00,1,37.580831,55.824774,"Яблочкова ул., д.28 к.2"
134,СВАО,Лосиноостровский,"Москва, Изумрудная ул., д.12",1,#0ACF00,1,37.680868,55.869223,"Изумрудная ул., д.12"
135,СВАО,Лосиноостровский,"Москва, Изумрудная ул., д.26",1,#0ACF00,1,37.686329,55.872627,"Изумрудная ул., д.26"
136,СВАО,Лосиноостровский,"Москва, Изумрудная ул., д.28 к.2",1,#0ACF00,1,37.687596,55.872804,"Изумрудная ул., д.28 к.2"
137,СВАО,Лосиноостровский,"Москва, Изумрудная ул., д.28, к.1",1,#0ACF00,1,37.686904,55.873733,"Изумрудная ул., д.28, к.1"
138,СВАО,Лосиноостровский,"Москва, Изумрудная ул., д.44",1,#0ACF00,1,37.692231,55.877289,"Изумрудная ул., д.44"
139,СВАО,Лосиноостровский,"Москва, Минусинская ул., д.10",1,#0ACF00,1,37.692249,55.874031,"Минусинская ул., д.10"
140,СВАО,Лосиноостровский,"Москва, Минусинская ул., д.12",1,#0ACF00,1,37.692393,55.874572,"Минусинская ул., д.12"
141,СВАО,Лосиноостровский,"Москва, Минусинская ул., д.14",1,#0ACF00,1,37.691468,55.874476,"Минусинская ул., д.14"
142,СВАО,Лосиноостровский,"Москва, Осташковская ул., д.10",1,#0ACF00,1,37.680113,55.879283,"Осташковская ул., д.10"
143,СВАО,Лосиноостровский,"Москва, Осташковская ул., д.8",1,#0ACF00,1,37.680526,55.878425,"Осташковская ул., д.8"
144,СВАО,Лосиноостровский,"Москва, Тайнинская ул., д.11",1,#0ACF00,1,37.684757,55.882747,"Тайнинская ул., д.11"
145,СВАО,Лосиноостровский,"Москва, Тайнинская ул., д.13",1,#0ACF00,1,37.685126,55.883232,"Тайнинская ул., д.13"
146,СВАО,Лосиноостровский,"Москва, Тайнинская ул., д.3",1,#0ACF00,1,37.681029,55.87795,"Тайнинская ул., д.3"
147,СВАО,Лосиноостровский,"Москва, Тайнинская ул., д.5",1,#0ACF00,1,37.681586,55.878415,"Тайнинская ул., д.5"
148,СВАО,Марфино,"Москва, Ботаническая ул., д.37А",1,#0ACF00,1,37.583921,55.844025,"Ботаническая ул., д.37А"
149,СВАО,Марфино,"Москва, Ботаническая ул., д.37Б",1,#0ACF00,1,37.583239,55.844465,"Ботаническая ул., д.37Б"
150,СВАО,Марфино,"Москва, Ботаническая ул., д.39",1,#0ACF00,1,37.583158,55.84535,"Ботаническая ул., д.39"
151,СВАО,Марфино,"Москва, Комарова Академика ул., д.8",1,#0ACF00,1,37.59162,55.830119,"Комарова Академика ул., д.8"
152,СВАО,Марьина Роща,"Москва, Анненская ул., д.5",1,#0ACF00,1,37.608805,55.802735,"Анненская ул., д.5"
153,СВАО,Марьина Роща,"Москва, Анненская ул., д.7 к.1",1,#0ACF00,1,37.6092,55.803039,"Анненская ул., д.7 к.1"
154,СВАО,Марьина Роща,"Москва, Анненская ул., д.7 к.2",1,#0ACF00,1,37.60849,55.803024,"Анненская ул., д.7 к.2"
155,СВАО,Марьина Роща,"Москва, Анненская ул., д.9",1,#0ACF00,1,37.608769,55.803368,"Анненская ул., д.9"
156,СВАО,Марьина Роща,"Москва, Шереметьевская ул., д.13 к.2",1,#0ACF00,1,37.61424,55.797169,"Шереметьевская ул., д.13 к.2"
157,СВАО,Марьина Роща,"Москва, Шереметьевская ул., д.17 к.1",1,#0ACF00,1,37.615129,55.797923,"Шереметьевская ул., д.17 к.1"
158,СВАО,Марьина Роща,"Москва, Шереметьевская ул., д.17 к.2",1,#0ACF00,1,37.614626,55.798247,"Шереметьевская ул., д.17 к.2"
159,СВАО,Останкинский,"Москва, Годовикова ул., д.12 к.1",1,#0ACF00,1,37.631568,55.807501,"Годовикова ул., д.12 к.1"
160,СВАО,Останкинский,"Москва, Годовикова ул., д.12 к.2",1,#0ACF00,1,37.632493,55.80744,"Годовикова ул., д.12 к.2"
161,СВАО,Останкинский,"Москва, Годовикова ул., д.7",1,#0ACF00,1,37.630409,55.806019,"Годовикова ул., д.7"
162,СВАО,Останкинский,"Москва, Королева Академика ул. д.7 к.4",1,#0ACF00,1,37.627041,55.820223,Королева Академика ул. д.7 к.4
163,СВАО,Останкинский,"Москва, Королева Академика ул., д.7 к.2",1,#0ACF00,1,37.625972,55.819676,"Королева Академика ул., д.7 к.2"
164,СВАО,Останкинский,"Москва, Королева Академика ул., д.7 к.3",1,#0ACF00,1,37.626511,55.819955,"Королева Академика ул., д.7 к.3"
165,СВАО,Ростокино,"Москва, Мира просп., д.135А",1,#0ACF00,1,37.652104,55.833986,"Мира просп., д.135А"
166,СВАО,Ростокино,"Москва, Сельскохозяйственная ул., д.7/1",1,#0ACF00,1,37.649049,55.833157,"Сельскохозяйственная ул., д.7/1"
167,СВАО,Свиблово,"Москва, Амундсена ул., д.17 к.1",1,#0ACF00,1,37.654709,55.854219,"Амундсена ул., д.17 к.1"
168,СВАО,Свиблово,"Москва, Амундсена ул., д.19",1,#0ACF00,1,37.655275,55.854653,"Амундсена ул., д.19"
169,СВАО,Свиблово,"Москва, Нансена пр., д.10 к.1",1,#0ACF00,1,37.651969,55.851263,"Нансена пр., д.10 к.1"
